RecNo|Submod|Pos|MaxPar|NotP|Runout|NotR|NomT|NotT|MinMach|NotM|Discard|NotD|Finish|NotF
82991|Coupe W/O Code 950|F|NS||NS||1.102||1.02||.999||NS|
82992|Sedan W/ Code 950|F|NS||NS||1.102||1.04||1.02||NS|
82993|Coupe W/Code 494|F|NS||NS||1.102||1.02||.999||NS|
82994|Sedan  W/O Code P53|F|NS||NS||1.102||1.02||.999||NS|
82995|Sedan  W/ Code P53|F|NS||NS||1.102||1.04||1.02||NS|
83032|W/O Code P30|F|NS||NS||1.417||1.338||1.314||NS|
83034|W/ Code P30|F|NS||NS||1.417||1.318||1.299||NS|
83052|W/ Code B07|R|NS||NS||1.260||NS||NS||NS|
83053|W/O  Code B07|R|NS||NS||1.024||.964||.945||NS|
83054|W/O  Code B07|F|NS||NS||1.417||1.318||1.299||NS|
83055|Coupe W/ Code 950|F|NS||NS||1.259||1.200||1.181||NS|
83056|Sedan W/ Code 952|F|NS||NS||1.259||1.200||1.181||NS|
83057|Sedan W/ Code 951|F|NS||NS||1.259||1.200||1.181||NS|
83059|Convert W/O Code 952|F|NS||NS||1.259||1.181||1.157||NS|
83060|Convert W/ Code 950|F|NS||NS||1.259||1.200||1.181||NS|
83061|Coupe W/O Code 952|F|NS||NS||1.259||1.181||1.157||NS|
83062|Coupe W/O Code 950|F|NS||NS||1.259||1.181||1.157||NS|
83063|Sedan  W/O Code P96|F|NS||NS||1.259||1.181||1.157||NS|
83064|Sedan W/O Code 952|F|NS||NS||1.259||1.181||1.157||NS|
83065|Convert W/ Code 952|F|NS||NS||1.259||1.200||1.181||NS|
83067|Convert W/O Code 950|F|NS||NS||1.259||1.181||1.157||NS|
83068|Sedan W/O Code 950|F|NS||NS||1.259||1.181||1.157||NS|
83071|Coupe W/ Code 952|F|NS||NS||1.259||1.200||1.181||NS|
83072|Sedan W/O Code 951|F|NS||NS||1.259||1.181||1.157||NS|
83075|Sedan  W/ Code P96|F|NS||NS||1.259||1.200||1.181||NS|
83078|Sedan W/ Code 950|F|NS||NS||1.259||1.200||1.181||NS|
83175|Model 212|R|NS||NS||.945||.866||.843||NS|
83176|Model 207|R|NS||NS||.866||.787||.764||NS|
83189|W/O  Code B07|R|NS||NS||1.023||.964||.944||NS|
83217||R|NS||NS||1.02||.964||.945||NS|
83219|W/O  Code 950|R|NS||NS||.866||.787||.764||NS|
83243|W/ Code P88|F|NS||NS||1.259||1.200||1.181||NS|
83244|W/O Code 494,950,951|F|NS||NS||1.259||1.181||1.157||NS|
83245|W/O Code 952, P88|F|NS||NS||1.259||1.181||1.157||NS|
83246|W/ Code 494|F|NS||NS||1.102||1.023||.999||NS|
83247|W/ Code 950,951,952|F|NS||NS||1.259||1.200||1.181||NS|
83252|11.57 inch dia. Disc|F|NS||NS||.866|||108|.803||NS|
83253|10.19 inch dia. Disc|R|NS||NS||.393|||108|.330||NS|
