RecNo|Submod|Appl|FTorq|RTorq|Note
92532|ex. Ralliart|CB|28-36|28-36|
92540|F22 W/ 12.99" Rotor|BK|81||178
92544|ex. Ralliart|BK|67-81|38-44|
92546|F22 W/ 13.39" Rotor|CB|21||
92575|F22 W/ 13.58" Rotor|BK||22|746
92582|F23 W/ 11.42" Rotor|CB||21|
92587|F23 W/ 12.28" Rotor|CB|21||
92593|F22 W/ 13.39" Rotor|BK|81||178
92601|F23 W/ 12.99" Rotor|BK||22|746
92608|F23 W/ 12.99" Rotor|CB|21|21|
92613|F22 W/ 12.28" Rotor|BK|81||178
92620|F22 W/ 12.99" Rotor|CB|21||
92625|F23 W/ 13.39" Rotor|BK|81||178
92631|F22 W/ 11.18" Rotor|BK|81||178
92637|F22 W/ 11.18" Rotor|CB|21||
92645|F22 W/ 11.81" Rotor|BK||22|746
92653|F23 W/ 11.18" Rotor|CB|21||
92661|F23 W/ 11.42" Rotor|BK||22|746
92668|F23 W/ 12.99" Rotor|BK|81||178
92673|F23 W/ 13.39" Rotor|CB|21||
92689|W/ SUPER PERFORMANCE|BK|NS|NS|263
92700||CB|43|26|263
92704|W/ SUPER PERFORMANCE|CB|NS|NS|263
92710||BK|85|76|263
92794||BK|91|62|368
92800||CB|NS||541
92812||CB|25|NS|368
92817||BK|91||541
92823||CB||32|518
92896|16" 1LV,1ZA,1ZB|CB|22||
92902||CB|22||287
92909|FSIII 1ZM,1ZQ|CB|22||
92915|1KD, 1KS, 1KT|BK||90|121
92922||BK|148||287
92932|16" 1LV,1ZA,1ZB|BK|148||
92940|1KD, 1KS, 1KT|CB||26|252
92962|2WD|BK|101||
92970|2WD|CB|25||
92984|AWD|CB|37||
92989|AWD|BK|101||
93051|W/ 14"|BK|122|111|
93059|Natural Gas|BK|80|55|
93060|W/ 13"|BK|122|111|
93066|Non Natural Gas 14"|CB|25||
93072|Non Natural Gas 16"|CB|25||
93078|Non Natural Gas 15"|BK|80||
93085|Non Natural Gas 16"|BK|80||
93091|Non Natural Gas 14"|BK|80||
93098||BK||90|121
93102|Non Natural Gas 15"|CB|25||
93109|Hybrid|BK|111|66|178
93111|Natural Gas|CB|37|17|
93115|Hybrid|CB|22|21|
93127||CB||26|252
93327||BK|111|74|255
93340|HYBRID|BK|91|62|
93363||CB|20||368
93376|HYBRID|CB|20|32|
93382||CB||32|262
93393||BK|91|62|518
93399||BK||62|368
93689||BK|129|89|
93745||BK|133|81|599
93750||CB||NS|600
93755|W/ Code B07|BK|133|100|
93761|W/O Code B07|BK|133|100|
93767|W/ Code B07|CB||NS|600
93838|Coupe J56|BK|127|96|
93844|Wagon JE5/J55|CB|46|44|
93849|Sedan|CB||27|
93855|Sedan|BK|||253
93860|Wagon J56|BK|127|96|
93868|CTS-V JE5/J55|CB|46|44|
93873|Sedan|BK||74|254
93878|Wagon J56|CB|24|24|
93883|Coupe JE5/J55|CB|46|44|
93885||BK|92|62|368
93888|CTS-V J56|BK|127|96|
93893||BK|92||541
93897|CTS-V JE5/J55|BK|170|100|
93904|W/O Code B07|BK|59|81|097
93905|Coupe J56|CB|24|24|
93912|W/O Code B07|CB||26|
93913|Sedan|CB|111||181
93917||BK|80||601
93920|Coupe JE5/J55|BK|170|100|
93927|Wagon JE5/J55|BK|170|100|
93930|W/O Code B07|BK|133||
93934|CTS-V J56|CB|24|24|
94122||CB|22|26|178
94127||BK|148|90|141
94255||BK||74|379
94260|W/ 1KW|CB||26|178
94270||CB||26|379
94275|W/ 1LL+FMO|BK|145||178
94280||BK||74|377
94285||CB|22||504
94300|W/ 1LL+FMO|CB|41||
94315||BK|145||503
94338|W/CII 38 16"|BK||66|121
94344||BK||66|576
94349|W/FNR-G 17"|CB|22||
94354|W/FNR-G 17"|BK|140||
94359|W/CII 38 16"|CB||26|
94369|W/C60 17"|CB|26||
94373||CB||26|575
94378|W/C60 17"|BK|148||
94652||CB|22|26|143
94656||BK|140|90|143
94754|W/ 18" Brembo|BK|22||121
94762|W/ 17" Brembo|BK|199||
95275|10.19 inch dia. Disc|BK||74|269
95278|12.44 inch dia. Disc|BK|81||269
95280|12.44 inch dia. Disc|CB|26||269
95282|11.57 inch dia. Disc|BK|81||269
95284|12.09 inch dia. Disc|CB|26||269
95287|11.02 inch dia. Disc|BK|81|74|269
95289|12.09 inch dia. Disc|BK|81||269
95291|10.19 inch dia. Disc|CB||26|269
95293|11.02 inch dia. Disc|CB|26|26|269
95295|11.57 inch dia. Disc|CB|26||269
95464||BK||81|178
95465||BK|22||746
95646|W/ Code Z07|CB||26|
95650|W/ Code Z07|BK|110||097
95673|W/O Code Z07|BK|110||097
95678|W/O Code Z07|CB||26|
95682|W/ Code Z07|BK||81|
95688|W/O Code Z07|BK||81|
95715|W/O Code 494|CB|21|26|
95719|W/ Code 950|BK|96||
95723|W/O Code 494|BK|96|96|
95728|W/ Code 950|CB|21||
95732|W/ Code 494|CB|21|26|
95737|W/ Code 494|BK|96|96|
95853|W/ RPO J96|CB|77|77|
95857|W/ RPO JD9|CB|74|38|
95860|W/ RPO JD9|BK|170|148|
95862|W/ RPO J95|BK|221|221|
95868|W/ RPO J95|CB|77|77|
95872|W/ RPO J96|BK|221|221|
95949||BK|129|89|178
95968|14 inch brakes|CB|55|24|
95972||CB|53|24|523
95974||CB|41||747
95978||CB|22-26||748
96029|W/ Ceramic Rotor|BK|70|81|
96035|W/ Ceramic Rotor|CB||26|178
96037|W/ Ceramic Rotor|CB|22-26||748
96039||BK|70|81|
96042|W/ Ceramic Rotor|CB|41||747
96060|W/ 11.81" Rotor|CB|22||749
96062|W/ 12.99" Rotor|CB|22||749
96065|W/ 15.12" Rotor|BK|81||
96067|W/ 12.99" Rotor|CB|26||750
96068|W/ 15.12" Rotor|CB|26||750
96070|W/ 11.81" Rotor|BK|81||
96076|W/ 11.81" Rotor|CB|26||750
96078|W/ 15.12" Rotor|CB|22||749
96080|W/ 12.99" Rotor|BK|81||
96124|F32 W/ 12.99" Rotor|BK||22|746
96126|F33 W/ 11.81" Rotor|CB|21|21|
96128|F33 W/ 12.99" Rotor|BK||22|746
96130|F33 W/ 13.38" Rotor|CB|21||
96132|F36 W/ 11.81" Rotor|BK|81||178
96134|F32 W/ 13.38" Rotor|BK|81||178
96136|F33 W/ 12.99" Rotor|CB||21|
96138|F32 W/ 12.28" Rotor|BK|81||178
96140|F36 W/ 12.99" Rotor|CB|21|21|
96142|F32 W/ 11.81" Rotor|CB|21|21|
96144|F33 W/ 12.28" Rotor|BK|81||178
96146|F33 W/ 13.38" Rotor|BK|81||178
96148|F33 W/ 12.28" Rotor|CB|21||
96149|F36 W/ 12.99" Rotor|BK|81||178
96151|F32 W/ 11.81" Rotor|BK||22|746
96153|F32 W/ 12.28" Rotor|CB|21||
96155|F36 W/ 11.81" Rotor|CB|21|21|
96157|F36 W/ 13.38" Rotor|BK|81||178
96158|F32 W/ 11.81" Rotor|BK|81||178
96160|F32 W/ 12.99" Rotor|CB||21|
96162|F32 W/ 13.38" Rotor|CB|21||
96164|F33 W/ 11.81" Rotor|BK|81||178
96166|F33 W/ 11.81" Rotor|BK||22|746
96169|F36 W/ 12.99" Rotor|BK||22|746
96171|F36 W/ 13.38" Rotor|CB|21||
96173|F36 W/ 11.81" Rotor|BK||22|746
96430||BK|80|91|
96507||BK|140||521
96512|W/FRN-G, 17"|BK|||267
96516|w/C38, 15"|BK||90|121
96522|W/CII 41, 17"|BK||90|121
96532||BK|140||522
96537|W/CII 41, 15"|BK||90|121
96540|W/CII 38, 16"|BK||90|121
96546|W/ZOH 38, 16"|BK||90|121
96694||BK|129|81|
96818|W/ 1LB,1LD|BK|145||220
96821||CB||26|281
96829||CB||26|588
96833|W/ GP2,2ED,1KZ|BK||74|220
96836||BK||74|281
96849|W/ GP2,2ED,1KZ|CB||26|220
96852||BK||74|588
96861|W/ 1LA, 1LJ/1ZT|BK|145||220
96956||BK|73-81||
96960||CB|28-36||
97054|W/ 11.81" Rotor|BK||22|746
97057|W/ 13.38" Rotor|CB|21||
97059|W/ 13.58" Rotor|BK||22|746
97062|W/ 13.58" Rotor|CB||21|
97063|W/ 12.99" Rotor|BK|81||178
97066|W/ 12.99" Rotor|CB|21|21|
97067|W/ 11.81" Rotor|BK|81||178
97070|W/ 12.99" Rotor|BK||22|746
97073|W/ 11.81" Rotor|CB|21|21|
97076|W/ 13.38" Rotor|BK|81||178
97080|W/ 12.99" Rotor|CB||26|178
97082|W/ 13.70" Rotor|BK|81||
97086|W/ 12.99" Rotor|BK|81|81|
97090|W/ 14.72" Rotor|BK|81||
97093|W/ 14.72" Rotor|CB|22-26||748
97097|W/ 14.72" Rotor|CB|41||747
97101|W/ 15.59" Rotor|CB||26|178
97104|W/ 15.75" Rotor|BK|81||
97108|W/ 13.58" Rotor|BK||81|
97111|W/ 12.99" Rotor|CB|22-26||748
97115|W/ 13.70" Rotor|CB|22-26||748
97118|W/ 15.75" Rotor|CB|22-26||748
97121|W/ 15.75" Rotor|CB|41||747
97125|W/ 12.99" Rotor|CB|41||747
97127|W/ 13.70" Rotor|CB|41||747
97131|W/ 15.59" Rotor|BK||81|
97145|W/ 13.58" Rotor|CB||26|178
97153||CB|41|22-26|
97233||CB|21||751
97315|W/ 12.28" Rotor|CB|22||749
97325|W/ 13.70" Rotor|CB|22||749
97331||CB||22|749
97336|W/ 13.70" Rotor|BK|81||178
97338|W/ 12.28" Rotor|CB|26||750
97342|W/ 13.70" Rotor|CB|26||750
97346||CB||26|750
97350|W/ 12.28" Rotor|BK|81||178
97354||BK||48|178
97481|Coupe|BK|129|96|
97494|Sedan|BK|111||181
97506|Coupe|CB|NS|NS|
97508||BK|129|66|
97535|W/ceramic rotors|BK||74|247
97539|W/ceramic rotors|CB||26|178
97543|S|CB||26|178
97546|Turbo|BK||74|247
97550|Turbo|BK|22||729
97554|W/ceramic rotors|BK|145||730
97557|W/ Dual rear wheel|CB|44||
97558|S|BK|145||730
97562|S|BK|22||729
97566|Turbo|BK|145||730
97567|W/ Dual rear wheel|BK|203||
97570|S|BK||74|247
97572|W/ Single rear wheel|CB|44||
97575|Turbo|CB||26|178
97579|W/ Single rear wheel|BK|203||
97581|F10 W/ 12.99" Rotor|CB|22-26||748
97587|F10 W/ 13.58" Rotor|CB||26|178
97591|F10 W/ 14.72" Rotor|BK|81||
97594|F10 W/ 14.72" Rotor|CB|41||747
97598|F10 W/ 15.59" Rotor|CB||26|178
97601|F10 W/ 12.99" Rotor|CB|41||747
97605|F10 W/ 13.58" Rotor|BK||81|
97609|F07 W/ 14.56" Rotor|CB||22-26|
97612|F10 W/ 12.99" Rotor|BK|81|81|
97616|F07 W/ 13.58" Rotor|BK||81|
97620|F07 W/ 13.70" Rotor|BK|81||
97623|F07 W/ 13.70" Rotor|CB|41||747
97627|F10 W/ 12.99" Rotor|CB||26|178
97630|F10 W/ 15.75" Rotor|BK|81||
97634|F07 W/ 14.56" Rotor|BK||81|
97637|F07 W/ 14.72" Rotor|CB|22-26||748
97641|F10 W/ 14.72" Rotor|CB|22-26||748
97645|F10 W/ 15.75" Rotor|CB|41||747
97648|F10 W/ 13.70" Rotor|CB|22-26||748
97653|F10 W/ 13.70" Rotor|CB|41||747
97657|F10 W/ 15.75" Rotor|CB|22-26||748
97661|F07 W/ 13.70" Rotor|CB|22-26||748
97666|F07 W/ 13.58" Rotor|CB||22-26|
97671|F07 W/ 14.72" Rotor|BK|81||
97675||CB|43|26|
97677|F10 W/ 13.70" Rotor|BK|81||
97681||CB|NS|NS|284
97683|F10 W/ 15.59" Rotor|BK||81|
97687||BK|85|85|284
97702|F07 W/ 14.72" Rotor|CB|41||747
97806|Hybrid|CB|16-23|16-23|
97811|Hybrid|BK|58-72|47-54|
97859|Base|CB|44||
97864|Base|BK|98||178
97868|SRT|BK|121|98|
97872|W/ 18" Premium brake|CB||23|
97877|W/ 17" Base brake|CB||23|
97882|W/ 17" Base brake|BK||81|178
97886|W/ 18" Premium brake|BK||81|178
97953|W/ 1EK, 2EL, 2EJ,1KF|BK||74|734
97959|1LJ before 6/20/2011|CB|22||
97964|W/ 1KW, 2EK|BK||74|734
97969|W/ 1LA, 1ZB, 1ZT|CB|22||
97975|1LJ after 6/20/2011|BK|145||178
97980|W/ 1LV, 1ZK|CB|41||
97983|W/ 13.70" Rotor|BK|70||
97984|1LJ after 6/20/2011|CB|22||
97989|W/ 1LB, 1LC, 1LE,1LP|BK|145||
97993|W/ 1LA, 1ZB, 1ZT|BK|145||178
97998|1LJ before 6/20/2011|BK|145||178
98003|W/ 1KW, 2EK|CB||26|
98007|W/ 1EK, 2EL, 2EJ,1KF|CB||26|
98033|W/ 15.75" Rotor|BK|70||
98050|W/ 12.99" Rotor|BK|70|81|
98055|W/ 14.72" Rotor|BK|70||
98056|W/ 1LV, 1ZK|BK|145||178
98075||CB|81|81|178
98093||CB|28||751
98132|W/ 12.60" Rotor|CB||22-26|178
98134|W/ 13.58" Rotor|CB||22-26|178
98139|W/ 13.70" Rotor|CB|22||218
98144|W/ 15.16" Rotor|CB|22||218
98148|W/ 13.07" Rotor|BK|81||178
98153|W/ 15.16" Rotor|CB||22-26|178
98158|W/ 13.07" Rotor|CB|22||218
98162|W/ 15.16" Rotor|BK|81|81|178
98166|M model|BK|81|81|178
98176|W/ 12.60" Rotor|BK||81|178
98180|W/ 13.58" Rotor|BK||81|178
98186|M model|CB||22-26|178
98197|W/ 1LL|CB|41||
98200|W/ SRW|BK||190|
98202|W/ 1KU|BK||74|734
98208|W/ SRW|CB|22||
98210|W/ 1LL|BK|145||178
98216|W/ 1LW|CB|NS||
98220|W/ 2EM|CB||26|178
98224|W/ 2EM|BK||74|734
98229||BK|74|74|735
98233|W/ 1LJ|CB|41||
98238|W/ 1LJ|BK|145||178
98243|W/ 1KW, 1KY, 1KZ|CB||26|178
98248|W/ 1KU|CB||26|178
98252|W/ 1KW, 1KY, 1KZ|BK||74|734
98282|W/ 1ZE, 1ZP|BK|148||178
98287|W/ 1KY, 1KJ|BK||66|734
98292|W/ 1ZE, 1ZP|CB|26||178
98297|W/ 1LC, 1LJ+S3|BK|148||178
98302|W/ 1KU|CB||26|
98306|W/ 1KY, 1KJ|CB||26|
98310|W/ 1KE|BK||66|734
98314|W/ 1KE|CB||26|
98317|W/ 1ZA, 1ZD|BK|148||178
98322|W/ 1KU|BK||66|734
98326|W/ 1LC, 1LJ+S3|CB|26||178
98330|W/ 1ZA, 1ZD|CB|26||178
98409||BK||74|202
98429|W/ 1LA, 1LJ+FM0|CB|22||
98434|W/ 2EA, 1KY, 1KJ+1KQ|CB||26|178
98439|W/ 1LW, 1LN|BK|145||178
98443|W/ 1KU, 1KK|BK||74|734
98448|W/ 1LL+FM0|BK|145||178
98453|W/ 2EA, 1KY, 1KJ+1KQ|BK||74|734
98457|W/ 1LA, 1LJ+FM0|BK|145||178
98462|W/ 1KU, 1KK|CB||26|178
98466|W/ 1KW|BK||74|734
98473|W/ 1LU|BK|145||
98478|W/ 1LL+FM0|CB|41||
98555|4MATIC|BK|85|NS|
98558|4MATIC|CB|||743
98562|4MATIC|CB||81|
98565|RWD|BK|133|85|
98570|RWD|CB|48|18|
98578|W/ 17" solid rotor|CB||26|
98582|W/ 17" vented rotor|BK||81|
98591|W/ 17" solid rotor|BK||81|
98595|W/ 17" vented rotor|CB||26|
98598|W/ 1LF|BK|199||178
98600|W/ 16" rotor|BK||81|
98602|W/ 1LN, 1LW|BK|199||178
98603|W/ 16" rotor|CB||26|
98605|W/ 1LT|BK|199||
98610|W/ 1KD|BK||133|178
98612|W/ base brakes|BK||89|
98613|W/ 1KF, 2EA|BK||133|178
98617|SRT-8|BK|148|89|
98618|W/ 1KK, 2EF|BK||110|734
98622|W/ premium brakes|BK||89|
98632|W/ base brakes|CB||20|
98640|W/ premium brakes|CB||20|
98653|Hybrid|BK|111|66|
98672||BK||74|737
98681||BK|59||736
98763|W/ RPO 1KE, 1KP, 1KZ|CB||26|178
98767|W/ RPO 1LT, 1LY|BK|140||
98770|W/ RPO 1LT, 1LY|CB|22||
98774|W/ RPO 2ED|CB||26|178
98778|W/ RPO 1KE, 1KP, 1KZ|BK||74|746
98782|W/ RPO 1KW, 2EH|BK||74|746
98788|W/ RPO 1LA, 1LB, 1LD|BK|145||178
98792|W/ RPO 1KW, 2EH|CB||26|178
98797|W/ RPO GP0, GP1, GP2|CB||26|178
98801|W/ RPO GP0, GP1, GP2|BK||74|746
98806|W/ RPO 1LA, 1LB, 1LD|CB|22||
98811|W/ RPO 1LJ/1ZT|BK|145||178
98815|W/ RPO 1LJ/1ZT|CB|22||
98820|W/ RPO 1LM|BK|145||178
98825|W/ RPO 2ED|BK||74|746
98924|W/ 4 Piston Caliper|CB|NS|24|
98933|W/ 6 Piston Caliper|BK|85|129|178
98940|W/ 2 Piston Caliper|CB|24|24|
98947|W/ 4 Piston Caliper|BK|85|129|178
98951|W/ 2 Piston Caliper|BK|115|129|
98955|W/ RPO 1LW|CB|22||
99105||CB|||541
99120|w/2.4L|BK|80|55|
99124|w/2.0L|BK|80|55|
99129|w/2.0L|CB|25|17|
99134|w/2.4L|CB|25|17|
99152|W/ Single piston|BK|72-87||
99158||BK||58-72|
99161|W/ Single piston|CB|16-23||
99165|W/ Four piston|BK|72-87||
99182||CB|118|NS|
99274|F22 W/ 13.58" Rotor|CB||21|
99470|W/ 2EA, 2EJ, GP1|BK||66|734
99474|W/ 1LA, 1ZT|BK|148||178
99480|W/ 1LJ, 1ZD|BK|148||178
99482|W/ 2EA, 2EJ, GP1|CB||26|178
99485|W/ 1LJ, 1ZD|CB|22||
99489||CB|20|25|
99631|W/ Standard Brakes|BK|85|76|
99634|W/ Performance Brake|BK|85|76|
99638|W/ Standard Brakes|CB|43|21|
99641|W/ Performance Brake|CB|43|21|
100034|Akebono type|CB|25||
100049|Nissin type|BK|80||
100053|Hybrid|CB|37||
100058|Nissin type|CB|37||
100061|W/ 4 piston caliper|BK|91||
100062|Akebono type|BK|80||
100066|W/ 1 piston caliper|BK||62|
100070|W/ 1 piston caliper|CB||32|
100075|W/ 2 piston caliper|BK|91|62|
100079|W/ 2 piston caliper|CB|20||
100192|W/ 2 piston caliper|CB|25||
100371||CB|37|25|
100462|Vented Rotor|BK|||109
100466|Vented Rotor|CB|NS||
100468|Non Vented Rotor|CB|NS||
100475|Non Vented Rotor|BK|||109
100479||BK||63|
100493||CB|25||286
100500||CB|21||743
100517|4WD|CB||18|
100521|4WD W/ code 950,952|CB||18|240
100525|4WD|BK||85|
100528|Convertible, Coupe|BK|85|85|
100532|Convertible, Coupe|CB||18|240
100535|4WD W/O code 950,952|BK|85||
100538|4WD W/ code 950,952|BK|85||
100542|4WD W/O code 950,952|CB||18|240
100545|W/O  Code B07|BK|133|85|
100549|W/ Code B07|BK||85|
100678||CB||18|743
100681||BK|85|100|
100685|W/ 1LJ, 1LL|BK|148||178
100688|W/ 1LK, 1LM, 1LN|BK|148||178
100693|W/ 17" rotor|CB||26|178
100696|W/ 16" rotor|BK||66|734
100698|W/O Code U28|CB|NS||
100699|W/ 16" rotor|CB||26|178
100700|W/Code 950,951,P88|CB|NS||
100702|W/ 17" rotor|BK||66|734
100706|W/O Code 950,951,P88|BK|||241
100708|W/Code 950,951,P88|BK|||241
100711|W/ Code U28|BK|||241
100714|W/ Code U28|CB|NS||
100719|W/O Code 950,951,P88|CB|NS||
100721|W/O Code U28|BK|||241
100724|W/ Code B07|CB|18|26|
100728|W/O Code B07|BK||81|
100734|W/O Code B07|BK|59||097
100738|W/ Code B07|BK|133|81|
100809|F30 W/ 12.99" Rotor|BK||22|746
100813|F34 W/ 11.81" Rotor|CB||21|
100816|F34 W/ 12.99" Rotor|BK||22|746
100820|F34 W/ 13.38" Rotor|BK|81||178
100824|F30 W/ 11.81" Rotor|BK||22|746
100826|F30 W/ 11.81" Rotor|BK|81||178
100829|F34 W/ 13.38" Rotor|CB|21||
100832|F30 W/ 13.38" Rotor|BK|81||178
100835|F30 W/ 13.58" Rotor|BK||22|746
100837|F31 W/ 11.81" Rotor|BK||22|746
100840|F31 W/ 11.81" Rotor|CB||21|
100843|F31 W/ 13.38" Rotor|BK|81||178
100846|F34 W/ 11.81" Rotor|BK||22|746
100851|F34 W/ 12.99" Rotor|CB|21|21|
100855|F30 W/ 13.38" Rotor|CB|21||
100858|F30 W/ 11.81" Rotor|CB|21|21|
100862|F30 W/ 12.99" Rotor|BK|81||178
100867|F30 W/ 12.99" Rotor|CB|21|21|
100872|F31 W/ 12.99" Rotor|CB|21|21|
100877|F34 W/ 12.99" Rotor|BK|81||178
100880|F31 W/ 12.99" Rotor|BK||22|746
100884|F31 W/ 12.99" Rotor|BK|81||178
100888|F31 W/ 13.38" Rotor|CB|21||
100891|F30 W/ 13.58" Rotor|CB||21|
101141|W/ 11.57" Rotor|BK|81||178
101142|W/ 12.09" Rotor|CB|26||178
101143||BK||74|178
101144|W/ 11.57" Rotor|CB|26||178
101145|W/ 12.09" Rotor|BK|81||178
101188|R57|BK|81|48|178
101189|R57|CB|26|26|178
101190|R58, R59|BK|81|48|178
101191|F55, F56|BK|81||178
101192|F55, F56|CB|26|22|178
101193|R58, R59|CB|26|26|178
101194|F55, F56|BK||22|746
101223||BK||47-54|739
101335||BK|81||178
101337||BK||22|746
101564|W/ceramic rotors|BK|22||729
101606||BK|30|30|141
101615||BK|114|48|
101744||BK||66|734
101749||CB|26||178
101780|W/ RPO JH5|BK|129|148|
101784|W/ RPO JH6|BK|221|148|
101787|W/ RPO JH9|CB|80|45|
101790|W/ RPO JH5|CB|74|25|
101793|W/ RPO JH6|CB|80|53|
101796|W/ RPO JH9|BK|221|221|
102036|W/ Solid Rotor|BK||81|
102045|W/ Vented Rotor|CB||22|
102050|W/ Vented Rotor|BK||81|
102060|W/ Solid Rotor|CB||22|
102196|Ex. Limo W/13 Inch|CB|53|24|
102203|Limo W/13 Inch|CB|53|28|
102214|Ex. Limo W/14 Inch|CB|55|24|
102220|Convertible, Coupe|CB|||240
102221|Limo W/14 Inch|CB|55|28|
102225|Sedan W/O code 978|BK||85|
102230|Convertible, Coupe|CB||18|
102235|4WD Coupe|CB||18|
102240|Sedan, Wagon|CB|||240
102245|4WDCoupe W/O 950/P96|BK|85||
102250|Sedan W/ code 978|BK||85|
102255|Wagon W/ code 978|CB||18|
102260|4WD Coupe W/ 950/P96|CB|||240
102265|4WDCoupe W/O 950/P96|CB|||240
102270|Wagon W/O code 978|CB||18|
102272||BK|98||158
102275|4WD Coupe W/ 950/P96|BK|85||
102279|4WD Coupe|BK||85|
102284|Sedan W/ code 978|CB||18|
102294|Wagon W/ code 978|BK||85|
102299|Sedan, Wagon|BK|85||
102304|Sedan W/O code 978|CB||18|
102309|Wagon W/O code 978|BK||85|
102370||BK|||745
102375||CB|||744
102377|Vented Rotor|CB||20|
102381|C W/ Opposed caliper|BK|100||
102386|W/ indentation|BK|100||
102391|C|CB||25|
102395|W/ indentation|CB|25||
102401|Solid Rotor|BK||92|
102406|Solid Rotor|CB||20|
102411|C W/ indentation|BK|100||
102416|C|BK||92|
102421|C W/ indentation|CB|25||
102426|C W/O indentation|BK|100||
102431|W/O indentation|BK|100||
102436|W/O indentation|CB|25||
102437|W/ 13" Rotor|BK||63|178
102441|Vented Rotor|BK||92|
102442|W/O 6 Piston W/ 13"|BK|100||178
102445|C W/O indentation|CB|25||
102447|W/ 6 Piston|CB|22||740
102455|W/O 6 Piston W/ 14"|BK|100||178
102462|W/ 6 Piston|BK|100||178
102468|W/ 12" Rotor|BK||63|178
102498|W/DRW|CB|22||
102503|W/DRW|BK||190|
102533||BK|100|63|178
102612|W/ 2 Piston caliper|BK|122||
102618||CB||32|
102626|W/ 1 Piston caliper|BK|122||
102629|W/O NISMO RS Package|BK|122|62|
102633|W/ 1 Piston caliper|CB|25||
102634|W/O NISMO RS Package|CB|20|32|
102638|W/ NISMO RS Package|CB|25|32|
102640||BK||62|
102643|W/ NISMO RS Package|BK|122|62|
102725||BK|134|65|
102736||BK|77|77|
102755||BK|136|63|
102763|17" Brembo Caliper|BK|199||
102767|18" Brembo Caliper|BK|22||734
102771||BK||22|741
102812||BK|79|77|
102817||CB||25|178
102831|W/ FS111|CB|22||
102835|W/ FN3|CB|22||
102840|W/ FN3|BK|148||
102911||CB||65|178
103018|W/ 1LJ, 1LM|CB|26||178
103022|W/ 1ZA, 1ZD, 1ZB|CB|26|26|178
103029|W/ 1LJ, 1LM|BK|148||
103034|W/ 1ZA, 1ZD, 1ZB|BK||66|734
103039|W/ 1ZA, 1ZD, 1ZB|BK|148||
103071||BK|122|76|169
103076||CB|55|24|169
103128|W/ Return spring|BK|122||
103134|W/O Return spring|BK|122||
103139|W/ Return spring|CB|25||
103149|W/O Return spring|CB|25||
103197|Prerunner|BK|91||
103202|2WD|BK|80||
103213|2WD|CB|27||
103319|W/ GPO,GP1,GP2,2ED|CB||26|220
103357|W/ GPO,GP1,GP2,2ED|BK||74|220
103384|W/ Code P30, P61|BK|132||
103393|W/ C60 17" Caliper|CB|26||178
103398|W/O Code P30, P61|BK|132||
103399|W/ CII38 16" Caliper|CB||26|178
103405|W/ FNR-G 17" Caliper|CB|22||
103410||CB|||743
103412|W/ C1141 17" Caliper|BK||66|734
103420|W/ C1141 17" Caliper|CB||26|178
103426|W/ CII38 16" Caliper|BK||66|734
103432|W/ FNR-G 17" Caliper|BK||140|
103439|W/ C60 17" Caliper|BK|148||
103444|W/ FN3 16" Caliper|BK|148||
103450|W/ FN3 16" Caliper|CB|22||
103497||CB|41|21|
103673||BK||66|178
103831|W/ 1ZE, 1ZP|BK|148||
103852|W/ 1KD, 1KS, 1KT|CB||26|178
103861|W/ 1KD, 1KS, 1KT|BK||66|734
103869|W/ 1ZM, 1ZQ|CB|22||
103876|W/ 1LV, 1ZA, 1ZB|BK|148||
103882|W/ 1LV, 1ZA, 1ZB|CB|22||
104333||BK|30||734
104389||BK||92|
104395|W/ 18" DISC BRAKE|BK|100||
104403|W/ 17" DISC BRAKE|BK|100||
104852|Coupe W/O Code 950|CB|||734
104858|Coupe W/O Code P53|BK|85||
104867|Coupe W/O Code 952|CB|||734
104877|Coupe W/ Code 952|BK|85||
104883|Coupe W/ Code 952|CB|||734
104888|Coupe W/O Code 494|BK|85||
104894|Coupe W/O Code 950|BK|85||
104899|Coupe W/ Code 950|BK|85||
104905|Coupe W/ Code P53|CB|||734
104915|Coupe W/ Code P53|BK|85||
104919|Coupe W/Code 494|BK|85||
104924|Coupe W/O Code 952|BK|85||
104930|Coupe W/ Code 950|CB|||734
104936|Coupe W/Code 494|CB|||734
104941|Coupe W/O Code 494|CB|||734
104947|Coupe W/O Code P53|CB|||734
104952|W/ Code P31|BK|59||097
104958|W/ Code 494, P31|BK||44|097
104964|W/O Code P31|BK|59||097
104970|W/O Code P31|CB|26||
104978|W/ Code P31|CB|26||
104984|W/ Code 494, P31|CB||26|
105017|W/ Code 950,952,P53|CB|||734
105022|W/ Code 950,952,P53|BK|85||
105027|W/O Code 950,952,P53|CB||18|734
105032|W/O Code 950,952,P53|BK|85|85|
105108|W/ Ceramic Brakes|BK|85|85|178
105114|W/ High Performance|CB|43|26|
105119|W/ Performance Brake|BK|85|85|
105125|W/ Super Performance|BK|85|85|
105131|W/ Performance Brake|CB|43|26|
105137|W/ Ceramic Brakes|CB|22||740
105142|W/ High Performance|BK|85|85|
105147|W/ Super Performance|CB|43|26|
105235||BK||100|384
105240|W/ 1KW,2EK,1KE|BK||100|121
105241||BK||96|
105253|W/O Code 950|BK|96||
105265|W/O Code 950|CB|21||
105299||CB|59|44|097
105305||BK|41|26|
105333|W/O Code 830|BK|59||097
105347|W/O Code 830|CB|41||
105353|W/ Code 830+P31|CB|41||
